State,Temperature,Capital
india/Andhra-Pradesh,29ʡC,Visakhapatnam
india/Arunachal-Pradesh,24ʡC,Itanagar
india/Assam,24ʡC,Dispur
india/Bihar,21ʡC,Patna
india/Chhattisgarh,26ʡC,Raipur
india/Goa,31ʡC,Panaji
india/Gujarat,28ʡC,Ahmedabad
india/Haryana,21ʡC,Gurgaon
india/Himachal-Pradesh,20ʡC,Shimla
india/Jammu,16ʡC,Sunny.
india/Jharkhand,23ʡC,Ranchi
india/Karnataka,26ʡC,Bengaluru
india/Kerala,32ʡC,Thiruvananthapuram
india/Madhya-Pradesh,25ʡC,Bhopal
india/Maharashtra,30ʡC,Mumbai
india/Manipur,18ʡC,Imphal
india/Meghalaya,24ʡC,Shillong
india/Mizoram,24ʡC,Aizawl
india/Nagaland,18ʡC,Kohima
india/Odisha,26ʡC,Bhubaneshwar
india/Punjab,20ʡC,Ludhiana
india/Rajasthan,24ʡC,Jaipur
india/Sikkim,10ʡC,Gangtok
india/Tamil-Nadu,29ʡC,Chennai
india/Telangana,29ʡC,Hyderabad
india/Tripura,24ʡC,Agartala
india/Uttarakhand,21ʡC,Dehradun
india/Uttar-Pradesh,25ʡC,Lucknow
india/West-Bengal,24ʡC,Kolkata
india/Daman,29ʡC,Sunny.
india/Lakshadweep,33ʡC,Kavaratti
india/Delhi,21ʡC,Sunny.
india/Puducherry,28ʡC,Partly sunny.
india/Ladakh,7ʡC,Leh
india/Chandigarh,21ʡC,Haze.
